"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows"
"Subjects with ≥1 related AE","15 (28.3%)","19 (26.0%)","34 (27.0%)","19 (32.2%)","-3.9 (-20.9, 13.1)","-6.2 (-21.8, 9.4)","VALUE",2,0,0,0
"General disorders and administration site conditions","5 (9.4%)","6 (8.2%)","11 (8.7%)","1 (1.7%)","7.7 (-0.8, 16.3)","6.5 (-0.6, 13.6)","VALUE",3,0,0,1
"FATIGUE","1 (1.9%)","3 (4.1%)","4 (3.2%)","0","1.9 (-1.8, 5.5)","4.1 (-0.4, 8.7)","VALUE",3,1,1,0
"CHEST PAIN","2 (3.8%)","0","2 (1.6%)","0","3.8 (-1.4, 8.9)","0.0 (0.0, 0.0)","VALUE",3,1,2,0
"ASTHENIA","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",3,1,3,0
"CHILLS","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",3,1,4,0
"MALAISE","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",3,1,5,0
"OEDEMA PERIPHERAL","0","1 (1.4%)","1 (0.8%)","1 (1.7%)","-1.7 (-5.0, 1.6)","-0.3 (-4.6, 3.9)","VALUE",3,1,6,0
"PYREXIA","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",3,1,7,0
"Nervous system disorders","6 (11.3%)","5 (6.8%)","11 (8.7%)","1 (1.7%)","9.6 (0.5, 18.8)","5.2 (-1.5, 11.8)","VALUE",4,0,7,1
"DIZZINESS","4 (7.5%)","2 (2.7%)","6 (4.8%)","0","7.5 (0.4, 14.7)","2.7 (-1.0, 6.5)","VALUE",4,1,8,0
"HEADACHE","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",4,1,9,0
"SOMNOLENCE","1 (1.9%)","1 (1.4%)","2 (1.6%)","0","1.9 (-1.8, 5.5)","1.4 (-1.3, 4.0)","VALUE",4,1,10,0
"TRANSIENT ISCHAEMIC ATTACK","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",4,1,11,0
"PSYCHOMOTOR HYPERACTIVITY","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",4,1,12,0
"Gastrointestinal disorders","4 (7.5%)","2 (2.7%)","6 (4.8%)","2 (3.4%)","4.2 (-4.3, 12.6)","-0.7 (-6.6, 5.3)","VALUE",5,0,12,1
"DIARRHOEA","1 (1.9%)","1 (1.4%)","2 (1.6%)","1 (1.7%)","0.2 (-4.7, 5.1)","-0.3 (-4.6, 3.9)","VALUE",5,1,13,0
"NAUSEA","2 (3.8%)","0","2 (1.6%)","0","3.8 (-1.4, 8.9)","0.0 (0.0, 0.0)","VALUE",5,1,14,0
"VOMITING","2 (3.8%)","0","2 (1.6%)","0","3.8 (-1.4, 8.9)","0.0 (0.0, 0.0)","VALUE",5,1,15,0
"ABDOMINAL DISCOMFORT","1 (1.9%)","0","1 (0.8%)","0","1.9 (-1.8, 5.5)","0.0 (0.0, 0.0)","VALUE",5,1,16,0
"ABDOMINAL PAIN","0","1 (1.4%)","1 (0.8%)","1 (1.7%)","-1.7 (-5.0, 1.6)","-0.3 (-4.6, 3.9)","VALUE",5,1,17,0
"CONSTIPATION","0","0","0","1 (1.7%)","-1.7 (-5.0, 1.6)","-1.7 (-5.0, 1.6)","VALUE",5,1,18,0
"Cardiac disorders","2 (3.8%)","3 (4.1%)","5 (4.0%)","3 (5.1%)","-1.3 (-8.9, 6.3)","-1.0 (-8.2, 6.2)","VALUE",6,0,18,1
"SINUS BRADYCARDIA","2 (3.8%)","1 (1.4%)","3 (2.4%)","0","3.8 (-1.4, 8.9)","1.4 (-1.3, 4.0)","VALUE",6,1,19,0
"PALPITATIONS","0","1 (1.4%)","1 (0.8%)","0","0.0 (0.0, 0.0)","1.4 (-1.3, 4.0)","VALUE",6,1,20,0
