"label","col 1","col 2","col 3","col 4","col 5","col 6","row_type","anbr","indentme","roworder","newrows","newpage"
"Age Group: ≥18 to <65 years","8","5","13","7","","","VALUE",2,0,0,0,0
""," "," "," "," "," "," ","VALUE",2,0,1,0,0
"Subjects with ≥1 related AE","2 (25.0%)","1 (20.0%)","3 (23.1%)","1 (14.3%)","10.7 (-28.9, 50.4)","5.7 (-37.9, 49.3)","VALUE",2,0,2,0,0
""," "," "," "," "," "," ","VALUE",2,0,3,0,0
"General disorders and administration site conditions","2 (25.0%)","0","2 (15.4%)","0","25.0 (-5.0, 55.0)","0.0 (0.0, 0.0)","VALUE",2,0,4,0,0
"FATIGUE","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",2,1,5,0,0
"MALAISE","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",2,1,6,0,0
"Cardiac disorders","0","1 (20.0%)","1 (7.7%)","0","0.0 (0.0, 0.0)","20.0 (-15.1, 55.1)","VALUE",3,0,6,1,0
"SINUS BRADYCARDIA","0","1 (20.0%)","1 (7.7%)","0","0.0 (0.0, 0.0)","20.0 (-15.1, 55.1)","VALUE",3,1,7,0,0
"Injury, poisoning and procedural complications","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",4,0,7,1,0
"CONTUSION","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",4,1,8,0,0
"Nervous system disorders","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,0,8,1,0
"DIZZINESS","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",5,1,9,0,0
"Respiratory, thoracic and mediastinal disorders","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,0,9,1,0
"EPISTAXIS","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",6,1,10,0,0
"Skin and subcutaneous tissue disorders","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,0,10,1,0
"SKIN ODOUR ABNORMAL","1 (12.5%)","0","1 (7.7%)","0","12.5 (-10.4, 35.4)","0.0 (0.0, 0.0)","VALUE",7,1,11,0,0
"Infections and infestations","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",8,0,11,1,0
"CERVICITIS","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",8,1,12,0,0
"GASTROENTERITIS VIRAL","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",8,1,13,0,0
"URINARY TRACT INFECTION","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",8,1,14,0,0
"VAGINAL MYCOSIS","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",8,1,15,0,0
"Renal and urinary disorders","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",9,0,15,1,0
"DYSURIA","0","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",9,1,16,0,0
