"label","col 1","col 2","col 3","col 4","col 5","row_type","anbr","indentme","roworder","newrows","newpage"
"Age: ≥18 to <65 years","8","5","7","","","VALUE",2,0,0,0,0
""," "," "," "," "," ","VALUE",2,0,1,0,0
"Blood and lymphatic system disorders","","","","","","HEADER",2,0,2,0,0
"Anemia","","","","","","HEADER",2,1,3,0,0
"N","8","5","7","","","N",2,2,4,0,0
"Grade 1","7 (87.5%)","5 (100.0%)","5 (71.4%)","16.1 (-24.5, 56.6)","28.6 (-4.9, 62.0)","VALUE",2,3,5,0,0
"Grade 2","5 (62.5%)","5 (100.0%)","2 (28.6%)","33.9 (-13.5, 81.3)","71.4 (38.0, 100.0)","VALUE",2,3,6,0,0
"Grade 3","2 (25.0%)","2 (40.0%)","0","25.0 (-5.0, 55.0)","40.0 (-2.9, 82.9)","VALUE",2,3,7,0,0
"Leukocytosis","","","","","","HEADER",3,1,7,1,0
"N","8","5","7","","","N",3,2,8,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",3,3,9,0,0
"Metabolism and nutritional disorders","","","","","","HEADER",4,0,9,1,0
"Hyperkalemia","","","","","","HEADER",4,1,10,0,0
"N","8","5","7","","","N",4,2,11,0,0
"Grade 1","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,12,0,0
"Grade 2","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,13,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,14,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",4,3,15,0,0
"Hypernatremia","","","","","","HEADER",5,1,15,1,0
"N","8","5","7","","","N",5,2,16,0,0
"Grade 1","0","0","1 (14.3%)","-14.3 (-40.2, 11.6)","-14.3 (-40.2, 11.6)","VALUE",5,3,17,0,0
"Grade 2","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,18,0,0
"Grade 3","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,19,0,0
"Grade 4","0","0","0","0.0 (0.0, 0.0)","0.0 (0.0, 0.0)","VALUE",5,3,20,0,0
"Hypoalbuminemia","","","","","","HEADER",6,1,20,1,0
